start_genconfig
beam_e,6.6,GeV
theta_bb,30.3,&deg;
theta_sbs,24.7,&deg;
dist_bb,1.55,m
dist_mag,2.25,m
dist_hcal,7.5,m
bdl,1.71,Tm
golden,no
intFieldMap,1.73824,Tm
magScale,0.983753681885125,
Q2,5.7,GeV^2
comment,&int;Bdl=1.71Tm, dhcal=7.5m
end_genconfig
start_hcal_voffset_config
hcal_voffset,45.00000000,cm
pn_vertical_sep,55.58105654,cm
total_sigma_proton,0.19727631,pb
total_solid_proton,20.00047439,msr
total_sigma_neutron,0.54451873,pb
total_solid_neutron,20.00047439,msr
thetapq_radius,26.17993878,cm
resolution_phi,0.06875494,deg
resolution_theta,0.10313240,deg
resolution_hcal_position,3.50000000,cm
exclusion_zone,0.00000000,0.00170323,0.00196002,0.16628494,0.46439738,20.00047439,20.00047439,20.00047439,20.00047439
exclusion_zone,2.50000000,0.00159103,0.00169639,0.16603387,0.46373930,20.00047439,20.00047439,20.00047439,20.00047439
exclusion_zone,5.00000000,0.00143462,0.00135312,0.16542647,0.46211151,20.00047439,20.00047439,20.00047439,20.00047439
exclusion_zone,7.50000000,0.00128842,0.00103644,0.16437719,0.45927261,20.00047439,20.00047439,20.00047439,20.00047439
exclusion_zone,10.00000000,0.00114708,0.00077279,0.16264427,0.45454112,20.00047439,20.00047439,20.00047439,20.00047439
exclusion_zone,12.50000000,0.00102629,0.00056885,0.15987753,0.44691067,20.00047439,20.00047439,20.00047439,20.00047439
exclusion_zone,15.00000000,0.00090817,0.00040527,0.15547830,0.43472885,20.00047439,20.00047439,20.00047439,20.00047439
exclusion_zone,17.50000000,0.00081137,0.00028521,0.14841811,0.41506645,20.00047439,20.00047439,20.00047439,20.00047439
exclusion_zone,20.00000000,0.00072203,0.00019514,0.13696029,0.38307422,20.00047439,20.00047439,20.00047439,20.00047439
exclusion_zone,22.50000000,0.00064109,0.00012833,0.11924965,0.33354766,20.00047439,20.00047439,20.00047439,20.00047439
end_hcal_voffset_config
