start_genconfig
beam_e,6.6,GeV
theta_bb,46.5,&deg;
theta_sbs,16.2,&deg;
dist_bb,1.55,m
dist_mag,1.60,m
dist_hcal,11.0,m
bdl,1.2,Tm
golden,no
intFieldMap,1.73824,Tm
magScale,0.690353460972018,
Q2,8.5,GeV^2
comment,&int;Bdl=1.2Tm, dhcal=11.0m
end_genconfig
start_hcal_voffset_config
hcal_voffset,0.00000000,cm
pn_vertical_sep,56.55900417,cm
total_sigma_proton,0.02190436,pb
total_solid_proton,43.58304675,msr
total_sigma_neutron,0.00780210,pb
total_solid_neutron,43.61220408,msr
thetapq_radius,21.11848395,cm
resolution_phi,0.06875494,deg
resolution_theta,0.10313240,deg
resolution_hcal_position,3.50000000,cm
exclusion_zone,0.00000000,0.00003984,0.00001556,0.01537315,0.00547232,0.08135764,0.08907606,30.74317874,30.74311783
exclusion_zone,2.50000000,0.00003423,0.00001350,0.01531408,0.00545129,0.06978459,0.07718707,30.62553783,30.62547719
exclusion_zone,5.00000000,0.00002718,0.00001089,0.01516695,0.00539892,0.05535572,0.06222228,30.33218746,30.33212745
exclusion_zone,7.50000000,0.00002079,0.00000846,0.01490235,0.00530473,0.04228269,0.04833575,29.80464516,29.80458611
exclusion_zone,10.00000000,0.00001540,0.00000639,0.01446083,0.00514757,0.03125903,0.03649509,28.92355925,28.92350187
exclusion_zone,12.50000000,0.00001117,0.00000473,0.01373308,0.00488852,0.02261455,0.02694834,27.47148641,27.47143216
exclusion_zone,15.00000000,0.00000791,0.00000342,0.01256119,0.00447137,0.01596181,0.01944571,25.12987100,25.12982152
exclusion_zone,17.50000000,0.00000542,0.00000240,0.01085494,0.00386400,0.01092091,0.01365117,21.71480022,21.71475770
exclusion_zone,20.00000000,0.00000361,0.00000164,0.00871303,0.00310154,0.00726301,0.00934962,17.42412649,17.42409240
end_hcal_voffset_config
start_hcal_voffset_config
hcal_voffset,15.00000000,cm
pn_vertical_sep,56.56629842,cm
total_sigma_proton,0.02214225,pb
total_solid_proton,43.98511034,msr
total_sigma_neutron,0.00788285,pb
total_solid_neutron,43.99037764,msr
thetapq_radius,21.11848395,cm
resolution_phi,0.06875494,deg
resolution_theta,0.10313240,deg
resolution_hcal_position,3.50000000,cm
exclusion_zone,0.00000000,0.00004286,0.00001571,0.01552897,0.00552803,0.08742529,0.08974706,31.00421210,31.00416508
exclusion_zone,2.50000000,0.00003703,0.00001363,0.01546923,0.00550676,0.07546569,0.07776101,30.88545529,30.88540843
